id,name,code,category,price,currency,color,created_at,updated_at
p1,Classic_Crew_Tee,DLN-12511,T-Shirt,25,EUR,turquoise,5/12/2021 9:18,5/12/2021 9:18
p2,Performance_Running_Tee,DLN-12512,T-Shirt,30,EUR,BLACK,6/3/2017 11:42,6/3/2017 11:42
p3,Data_Engineer_Shirt,DLN-12513,T-Shirt,30,EUR,Grey,7/18/2021 14:07,8/5/2021 10:22
p4,Classic_Crew_Hoodie,DLN-12514,Hoodie,55,EUR,TURQUOISE,9/2/2021 16:51,9/28/2021 9:35
p5,Performance_Running_Hoodie,DLN-12515,Hoodie,60,EUR,GREY,1/11/2022 8:26,1/11/2022 8:26
p6,Data_Engineer_Hoodie,DLN-12516,Hoodie,60,EUR,grey,2/4/2022 12:44,2/4/2022 12:44
p7,Performance_Running_Short,DLN-12517,Short,30,EUR,black,3/19/2022 15:09,4/21/2022 17:18
p8,Christmas_Socks,DLN-12518,Socks,30,EUR,white,5/11/2022 10:33,5/11/2022 10:33
p9,Data_Engineer_Windbreaker,DLN-12519,Jacket,80,EUR,grey,6/4/2022 9:57,6/29/2022 14:41
p10,College_Jacket,DLN-12520,Jacket,100,EUR,Turquoise,7/8/2022 13:22,7/8/2022 13:22
p11,Data_Engineer_Mug,DLN-12521,Accessories,10,EUR,grey,8/19/2022 11:06,8/19/2022 11:06
p12,Crew_Cap,DLN-12522,Accessories,15,EUR,TURQUOISE,9/3/2022 16:48,9/26/2022 10:12
