CUSTOMER_ID,PRODUCT_ID,SALES_DATE,QUANTITY,TOTAL_AMOUNT,CURRENCY,CREATED_AT,UPDATED_AT
c3,p2,2018-01-05,1.0,30.0,EUR,2023-01-05 10:14:00,2023-01-05 10:14:00
c1,p1,2023-01-05,2.0,50.0,EUR,2023-01-05 09:03:00,2023-01-05 09:03:00
c7,p8,2023-01-06,3.0,90.0,EUR,2023-01-06 15:27:00,2023-01-06 15:27:00
c5,p5,2023-01-07,1.0,60.0,EUR,2023-01-07 11:42:00,2023-08-29 13:05:00
c2,p3,2023-01-07,2.0,60.0,EUR,2023-01-07 16:18:00,2023-01-07 16:18:00
c9,p10,2023-01-08,1.0,100.0,EUR,2023-01-08 10:54:00,2023-01-08 10:54:00
c4,p4,2023-01-08,1.0,55.0,EUR,2023-01-08 14:36:00,2023-01-08 14:36:00
c10,p11,2023-01-09,2.0,20.0,EUR,2023-01-09 09:11:00,2023-01-09 09:11:00
c6,p7,2023-01-10,1.0,30.0,EUR,2023-01-10 12:48:00,2023-06-03 15:02:00
c8,p1,2023-01-10,1.0,25.0,EUR,2023-01-10 17:19:00,2023-01-10 17:19:00
c3,p5,2023-01-11,2.0,120.0,EUR,2023-01-11 10:06:00,2023-01-11 10:06:00
c1,p12,2023-01-11,1.0,15.0,EUR,2023-01-11 13:44:00,2023-01-11 13:44:00
c7,p4,2023-01-12,2.0,110.0,EUR,2023-01-12 09:28:00,2023-03-18 11:39:00
c2,p6,2023-01-12,3.0,180.0,EUR,2023-01-12 16:52:00,2023-01-12 16:52:00
c9,p2,2023-01-13,1.0,30.0,EUR,2023-01-13 10:17:00,2023-01-13 10:17:00
c5,p3,2023-01-13,1.0,30.0,EUR,2023-01-13 14:05:00,2023-01-13 14:05:00
c6,p9,2023-01-14,2.0,160.0,EUR,2023-01-14 11:33:00,2023-05-17 16:21:00
c1,p7,2023-01-14,0.0,30.0,EUR,2023-01-14 18:02:00,2023-01-14 18:02:00
c4,p1,2023-01-14,1.0,25.0,EUR,2023-01-14 09:49:00,2023-01-14 09:49:00
c10,p12,2023-01-15,1.0,15.0,EUR,2023-01-15 12:57:00,2023-01-15 12:57:00
c8,p8,2023-01-15,3.0,90.0,EUR,2023-01-15 15:41:00,2023-01-15 15:41:00
c6,p3,2023-01-16,0.0,0.0,EUR,2023-01-16 10:08:00,2023-01-16 10:08:00
c2,p4,2023-01-16,1.0,0.0,UNKNOWN,2023-01-16 11:46:00,2023-01-16 11:46:00
